"","X","Section","research_center","site_type","name","site_name","country","state_region","zip","study_name","study_location","study_field_location","city","lat","lon","address"
"140",146,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Rio de Janeiro",-22.9068467,-43.1728965,"rio de janeiro, state of rio de janeiro, brazil"
"141",147,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Salvador",13.794185,-88.89653,"el salvador"
"142",148,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Minas Gerais",-17.930178,-43.7908453,"state of minas gerais, brazil"
"143",149,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Taipei",25.0329694,121.5654177,"taipei, taiwan"
"144",150,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Durban",-29.8586804,31.0218404,"durban, south africa"
"145",151,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Karachi",24.8607343,67.0011364,"karachi, karachi city, sindh, pakistan"
"146",152,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Innate and adaptive immune response to arboviruses and emerging IDs","UW, CIIID, Gale Laboratory (Seattle, WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","UW (Seattle WA),  Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan)","Dakar",14.716677,-17.4676861,"dakar, senegal"
"147",153,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","COVID And Pets Study (CAPS)","UW Center for One Health Research (COHR, Seattle, WA)","UW Seattle, WA","Seattle",47.6062095,-122.3320708,"seattle, wa, usa"
"148",154,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","DENTHOM","Institut Pasteur du Cambodge Monivong Blvd, #5 P.O Box 983 Phnom Penh, Cambodia","Kampong Thom, Cambodia","Kampong Thom",12.8221829,105.1258955,"kampong thom province, cambodia"
"149",155,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOCAM","Yaound√©, Cameroon","in the centre region (Yaounde and neighborhoods in one hand)  and the North region (Garoua and neighborhoods) in the other hand","Yaounde",3.8480325,11.5020752,"yaoundÈ, cameroon"
"150",156,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOCAM","Yaound√©, Cameroon","in the centre region (Yaounde and neighborhoods in one hand)  and the North region (Garoua and neighborhoods) in the other hand","Garoua",9.3226016,13.393389,"garoua, cameroon"
"151",157,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Rosso",16.5139103008969,-15.8079746314916,"Rosso,  Mauritania"
"152",158,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Darou Marnane",14.832029,-15.885219,"darou marnane, touba, senegal"
"153",159,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Dalaba",10.6868176,-12.2490697,"dalaba, guinea"
"154",160,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Diamagueune",14.177134,-15.710069,"diamaguene, senegal"
"155",161,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Saint-Joseph",14.7454223176079,-17.2851486714813,"Saint-Joseph,  Senegal"
"156",162,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Bokidiaw√© et Ndiaye-Ndiaye",13.959304,-16.348358,"ndiaye ndiaye, senegal"
"157",163,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Bark√©dji ",NA,NA,""
"158",164,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","ARBOSEN","36 avenue Pasteur, Dakar, Senegal","7 sentinel sites (Rosso, Darou Marnane, Dalaba, Diamagueune, Saint-Joseph, Bokidiaw√© et Ndiaye-Ndiaye) and 2 IPD field sites (Bark√©dji and Kedougou)","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"159",165,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","In-vivo assays (mice, Rift Valley Fever Virus)","25-28 rue du Docteur Roux, 75015 Paris","Paris","Paris",48.856614,2.3522219,"paris, france"
"160",166,"Section 3.3 CREID-Funded Research Center Studies","PICREID","studies","","","","","","Reverse Genetics Study","25-28 rue du Docteur Roux, 751015 Paris","Paris, France","Paris",48.856614,2.3522219,"paris, france"
"161",167,"Section 3.3 CREID-Funded Research Center Studies","A2CARES","studies","","","","","","Nicaraguan Arboviral Surveillance Cohort","CNDR, Conchita Palacios, Managua, Nicaragua","Managua, Nicaragua","Managua",12.1149926,-86.2361744,"managua, nicaragua"
"162",168,"Section 3.3 CREID-Funded Research Center Studies","A2CARES","studies","","","","","","Ecuador Arbovirus Surveillance Cohort ","Borbon, Ecuador","Eloy Alfaro County, Esmeraldas, Ecuador","Eloy Alfaro",1.0967272,-79.1616287,"Eloy Alfaro County, Esmeraldas, Ecuador"
"163",169,"Section 3.3 CREID-Funded Research Center Studies","A2CARES","studies","","","","","","SRILANKAN ARBOVIRUS COHORT STUDY","Colombo, Sri Lanka","Colombo, Sri Lanka","Colombo",6.9270786,79.861243,"colombo, sri lanka"
"164",170,"Section 3.3 CREID-Funded Research Center Studies","A2CARES","studies","","","","","","Sri Lanka Arbovirus Hospital Study ","Panadura, Sri Lanka","Panadura, Sri Lanka","Panadura",6.7106361,79.9074262,"panadura, sri lanka"
"165",171,"Section 3.3 CREID-Funded Research Center Studies","CREID-ESP","studies","","","","","","Seroepidemiology of SARSCoV-2","St. Louis, MO USA","St. Louis, MO USA","St. Louis",38.6270025,-90.1994042,"st. louis, mo, usa"
"166",172,"Section 3.3 CREID-Funded Research Center Studies","CREID-ESP","studies","","","","","","SARSCoV-2 Reverse Genetics","St. Louis, MO, USA","St. Louis, MO, USA","St. Louis",38.6270025,-90.1994042,"st. louis, mo, usa"
"167",173,"Section 3.3 CREID-Funded Research Center Studies","CREID-ESP","studies","","","","","","SARSCoV-2 animal models","660 S. Euclid Ave, USA","N/A","",NA,NA,""
"168",174,"Section 3.3 CREID-Funded Research Center Studies","CREID-ESP","studies","","","","","","Encephalitis and Arboviruses, Nepal","Tribhuvan University, Nepal","Kathmandu, Nepal","Kathmandu",27.7172453,85.3239605,"kathmandu 44600, nepal"
"169",175,"Section 3.3 CREID-Funded Research Center Studies","CREID-ESP","studies","","","","","","Febrile illness Nepal","Sukraj Hospital, Nepal","Sukraj Hospital, Nepal","Kathmandu",27.7172453,85.3239605,"kathmandu 44600, nepal"
"170",176,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Biological-behavioral human surveillance - community & clinical syndromic","Thailand; Peninsular, Sabah, and Sarawak Malaysia; Duke-NUS, Singapore;  Uniformed Services University, US; EcoHealth Alliance","Thailand; Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Peninsular",30.3203974,-81.6933253,"2609 phyllis st, jacksonville, fl 32204, usa"
"171",177,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Biological-behavioral human surveillance - community & clinical syndromic","Thailand; Peninsular, Sabah, and Sarawak Malaysia; Duke-NUS, Singapore;  Uniformed Services University, US; EcoHealth Alliance","Thailand; Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Sabah",5.420404,116.796783,""
"172",178,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Biological-behavioral human surveillance - community & clinical syndromic","Thailand; Peninsular, Sabah, and Sarawak Malaysia; Duke-NUS, Singapore;  Uniformed Services University, US; EcoHealth Alliance","Thailand; Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Sarawak",2.00644,112.549759,""
"173",179,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Biological-behavioral human surveillance - community & clinical syndromic","Thailand; Peninsular, Sabah, and Sarawak Malaysia; Duke-NUS, Singapore;  Uniformed Services University, US; EcoHealth Alliance","Thailand; Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Bangkok",3.139003,101.686855,"kuala lumpur, federal territory of kuala lumpur, malaysia"
"174",180,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Wildlife surveillance to identify high zoonotic potential viruses","Thailand; Peninsular, Sabah, and Sarawak Malaysia; University of North Carolina at Chapel Hill, US; EcoHealth Alliance, US","Thailand and Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Peninsular",30.3203974,-81.6933253,"2609 phyllis st, jacksonville, fl 32204, usa"
"175",181,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Wildlife surveillance to identify high zoonotic potential viruses","Thailand; Peninsular, Sabah, and Sarawak Malaysia; University of North Carolina at Chapel Hill, US; EcoHealth Alliance, US","Thailand and Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Sabah",5.420404,116.796783,""
"176",182,"Section 3.3 CREID-Funded Research Center Studies","EID-SEARCH","studies","","","","","","Wildlife surveillance to identify high zoonotic potential viruses","Thailand; Peninsular, Sabah, and Sarawak Malaysia; University of North Carolina at Chapel Hill, US; EcoHealth Alliance, US","Thailand and Peninsular, Sabah, and Sarawak Malaysia, city/town to be decided","Sarawak",2.00644,112.549759,""
